Code,CHAMPS,XCHAMPS,BOOST,FWDRIVE,NODENT,THEEND
5001,QHKNUQQY,NTBXUBLU,CJFOEWCB,OYQNXKCW,XMYGDQQO,MEGJWBDR
5002,OYQNUQQY,CJFOUBLU,NTBXEWCB,QHKNXKCW,INEPDQQO,TTYJWBDR
5003,CJFOUQQY,OYQNUBLU,QHKNEWCB,NTBXXKCW,TTYJDQQO,INEPWBDR
5004,MEGJUQQY,XMYGUBLU,INEPEWCB,TTYJXKCW,NTBXDQQO,QHKNWBDR
5005,XMYGUQQY,MEGJUBLU,TTYJEWCB,INEPXKCW,QHKNDQQO,NTBXWBDR
5006,INEPUQQY,TTYJUBLU,MEGJEWCB,XMYGXKCW,OYQNDQQO,CJFOWBDR
5007,TTYJUQQY,INEPUBLU,XMYGEWCB,MEGJXKCW,CJFODQQO,OYQNWBDR
5008,PHEXUQQY,LKZCUBLU,NVWFEWCB,VNIYXKCW,AIINDQQO,SVXVWBDR
5009,LKZCUQQY,PHEXUBLU,VNIYEWCB,NVWFXKCW,SVXVDQQO,AIINWBDR
5010,NVWFUQQY,VNIYUBLU,PHEXEWCB,LKZCXKCW,YFUHDQQO,HMYUWBDR
5011,VNIYUQQY,NVWFUBLU,LKZCEWCB,PHEXXKCW,HMYUDQQO,YFUHWBDR
5012,AIINUQQY,SVXVUBLU,YFUHEWCB,HMYUXKCW,PHEXDQQO,LKZCWBDR
5013,SVXVUQQY,AIINUBLU,HMYUEWCB,YFUHXKCW,LKZCDQQO,PHEXWBDR
5014,YFUHUQQY,HMYUUBLU,AIINEWCB,SVXVXKCW,NVWFDQQO,VNIYWBDR
5015,HMYUUQQY,YFUHUBLU,SVXVEWCB,AIINXKCW,VNIYDQQO,NVWFWBDR
5016,CPWIUQQY,KLTWUBLU,XJZLEWCB,PONJXKCW,XMGCDQQO,LRBYWBDR
5017,KLTWUQQY,CPWIUBLU,PONJEWCB,XJZLXKCW,LRBYDQQO,XMGCWBDR
5018,XJZLUQQY,PONJUBLU,CPWIEWCB,KLTWXKCW,OQVXDQQO,JWHNWBDR
5019,PONJUQQY,XJZLUBLU,KLTWEWCB,CPWIXKCW,JWHNDQQO,OQVXWBDR
5020,XMGCUQQY,LRBYUBLU,OQVXEWCB,JWHNXKCW,CPWIDQQO,KLTWWBDR
5021,LRBYUQQY,XMGCUBLU,JWHNEWCB,OQVXXKCW,KLTWDQQO,CPWIWBDR
5022,OQVXUQQY,JWHNUBLU,XMGCEWCB,LRBYXKCW,XJZLDQQO,PONJWBDR
