Code,CHAMPS,XCHAMPS,BOOST,FWDRIVE,NODENT,THEEND
5001,NYSGRPXM,VJMEAUKB,FRKBKJAE,HZOLDVWP,NYLLGWLQ,OYKAKQVR
5002,HZOLRPXM,FRKBAUKB,VJMEKJAE,NYSGDVWP,VRWZGWLQ,KTQMKQVR
5003,FRKBRPXM,HZOLAUKB,NYSGKJAE,VJMEDVWP,KTQMGWLQ,VRWZKQVR
5004,OYKARPXM,NYLLAUKB,VRWZKJAE,KTQMDVWP,VJMEGWLQ,NYSGKQVR
5005,NYLLRPXM,OYKAAUKB,KTQMKJAE,VRWZDVWP,NYSGGWLQ,VJMEKQVR
5006,VRWZRPXM,KTQMAUKB,OYKAKJAE,NYLLDVWP,HZOLGWLQ,FRKBKQVR
5007,KTQMRPXM,VRWZAUKB,NYLLKJAE,OYKADVWP,FRKBGWLQ,HZOLKQVR
5008,PGRERPXM,PHJTAUKB,EQSFKJAE,ZRMODVWP,CIGRGWLQ,KVHJKQVR
5009,PHJTRPXM,PGREAUKB,ZRMOKJAE,EQSFDVWP,KVHJGWLQ,CIGRKQVR
5010,EQSFRPXM,ZRMOAUKB,PGREKJAE,PHJTDVWP,EOKJGWLQ,KCLNKQVR
5011,ZRMORPXM,EQSFAUKB,PHJTKJAE,PGREDVWP,KCLNGWLQ,EOKJKQVR
5012,CIGRRPXM,KVHJAUKB,EOKJKJAE,KCLNDVWP,PGREGWLQ,PHJTKQVR
5013,KVHJRPXM,CIGRAUKB,KCLNKJAE,EOKJDVWP,PHJTGWLQ,PGREKQVR
5014,EOKJRPXM,KCLNAUKB,CIGRKJAE,KVHJDVWP,EQSFGWLQ,ZRMOKQVR
5015,KCLNRPXM,EOKJAUKB,KVHJKJAE,CIGRDVWP,ZRMOGWLQ,EQSFKQVR
5016,NULPRPXM,ZRIGAUKB,TSCNKJAE,UDFCDVWP,ZFKCGWLQ,EBMIKQVR
5017,ZRIGRPXM,NULPAUKB,UDFCKJAE,TSCNDVWP,EBMIGWLQ,ZFKCKQVR
5018,TSCNRPXM,UDFCAUKB,NULPKJAE,ZRIGDVWP,XGAAGWLQ,BAAAKQVR
5019,UDFCRPXM,TSCNAUKB,ZRIGKJAE,NULPDVWP,BAAAGWLQ,XGAAKQVR
5020,ZFKCRPXM,EBMIAUKB,XGAAKJAE,BAAADVWP,NULPGWLQ,ZRIGKQVR
5021,EBMIRPXM,ZFKCAUKB,BAAAKJAE,XGAADVWP,ZRIGGWLQ,NULPKQVR
5022,XGAARPXM,BAAAAUKB,ZFKCKJAE,EBMIDVWP,TSCNGWLQ,UDFCKQVR
5023,BAAARPXM,XGAAAUKB,EBMIKJAE,ZFKCDVWP,UDFCGWLQ,TSCNKQVR
5024,LLNWRPXM,DBXLAUKB,REGOKJAE,NYOODVWP,PDICGWLQ,URPPKQVR
5025,DBXLRPXM,LLNWAUKB,NYOOKJAE,REGODVWP,URPPGWLQ,PDICKQVR
5026,REGORPXM,NYOOAUKB,LLNWKJAE,DBXLDVWP,GFNPGWLQ,WVUMKQVR
5027,NYOORPXM,REGOAUKB,DBXLKJAE,LLNWDVWP,WVUMGWLQ,GFNPKQVR
5028,PDICRPXM,URPPAUKB,GFNPKJAE,WVUMDVWP,LLNWGWLQ,DBXLKQVR
5029,URPPRPXM,PDICAUKB,WVUMKJAE,GFNPDVWP,DBXLGWLQ,LLNWKQVR
5030,GFNPRPXM,WVUMAUKB,PDICKJAE,URPPDVWP,REGOGWLQ,NYOOKQVR
5031,WVUMRPXM,GFNPAUKB,URPPKJAE,PDICDVWP,NYOOGWLQ,REGOKQVR
5032,DEPERPXM,LBHXAUKB,GXZCKJAE,LRCHDVWP,HRALGWLQ,GMYZKQVR
5033,LBHXRPXM,DEPEAUKB,LRCHKJAE,GXZCDVWP,GMYZGWLQ,HRALKQVR
5034,GXZCRPXM,LRCHAUKB,DEPEKJAE,LBHXDVWP,RQPJGWLQ,ILKGKQVR
5035,LRCHRPXM,GXZCAUKB,LBHXKJAE,DEPEDVWP,ILKGGWLQ,RQPJKQVR
5036,HRALRPXM,GMYZAUKB,RQPJKJAE,ILKGDVWP,DEPEGWLQ,LBHXKQVR
5037,GMYZRPXM,HRALAUKB,ILKGKJAE,RQPJDVWP,LBHXGWLQ,DEPEKQVR
5038,RQPJRPXM,ILKGAUKB,HRALKJAE,GMYZDVWP,GXZCGWLQ,LRCHKQVR
5039,ILKGRPXM,RQPJAUKB,GMYZKJAE,HRALDVWP,LRCHGWLQ,GXZCKQVR
5040,VJCJRPXM,RMTZAUKB,GSFJKJAE,LKHKDVWP,DGTCGWLQ,WHTAKQVR
5041,RMTZRPXM,VJCJAUKB,LKHKKJAE,GSFJDVWP,WHTAGWLQ,DGTCKQVR
5042,GSFJRPXM,LKHKAUKB,VJCJKJAE,RMTZDVWP,LSFZGWLQ,AWFNKQVR
5043,LKHKRPXM,GSFJAUKB,RMTZKJAE,VJCJDVWP,AWFNGWLQ,LSFZKQVR
5044,DGTCRPXM,WHTAAUKB,LSFZKJAE,AWFNDVWP,VJCJGWLQ,RMTZKQVR
5045,WHTARPXM,DGTCAUKB,AWFNKJAE,LSFZDVWP,RMTZGWLQ,VJCJKQVR
5046,LSFZRPXM,AWFNAUKB,DGTCKJAE,WHTADVWP,GSFJGWLQ,LKHKKQVR
5047,AWFNRPXM,LSFZAUKB,WHTAKJAE,DGTCDVWP,LKHKGWLQ,GSFJKQVR
5048,PZGXRPXM,VUODAUKB,WHWLKJAE,SNCMDVWP,VQVNGWLQ,BFQVKQVR
5049,VUODRPXM,PZGXAUKB,SNCMKJAE,WHWLDVWP,BFQVGWLQ,VQVNKQVR
5050,WHWLRPXM,SNCMAUKB,PZGXKJAE,VUODDVWP,UVIOGWLQ,XCGBKQVR
5051,SNCMRPXM,WHWLAUKB,VUODKJAE,PZGXDVWP,XCGBGWLQ,UVIOKQVR
5052,VQVNRPXM,BFQVAUKB,UVIOKJAE,XCGBDVWP,PZGXGWLQ,VUODKQVR
5053,BFQVRPXM,VQVNAUKB,XCGBKJAE,UVIODVWP,VUODGWLQ,PZGXKQVR
5054,UVIORPXM,XCGBAUKB,VQVNKJAE,BFQVDVWP,WHWLGWLQ,SNCMKQVR
5055,XCGBRPXM,UVIOAUKB,BFQVKJAE,VQVNDVWP,SNCMGWLQ,WHWLKQVR
5056,YHXQRPXM,SOARAUKB,ZBFKKJAE,LLAPDVWP,ZJZGGWLQ,LGVOKQVR
5057,SOARRPXM,YHXQAUKB,LLAPKJAE,ZBFKDVWP,LGVOGWLQ,ZJZGKQVR
5058,ZBFKRPXM,LLAPAUKB,YHXQKJAE,SOARDVWP,LZDNGWLQ,SQHVKQVR
5059,LLAPRPXM,ZBFKAUKB,SOARKJAE,YHXQDVWP,SQHVGWLQ,LZDNKQVR
5060,ZJZGRPXM,LGVOAUKB,LZDNKJAE,SQHVDVWP,YHXQGWLQ,SOARKQVR
5061,LGVORPXM,ZJZGAUKB,SQHVKJAE,LZDNDVWP,SOARGWLQ,YHXQKQVR
5062,LZDNRPXM,SQHVAUKB,ZJZGKJAE,LGVODVWP,ZBFKGWLQ,LLAPKQVR
5063,SQHVRPXM,LZDNAUKB,LGVOKJAE,ZJZGDVWP,LLAPGWLQ,ZBFKKQVR
5064,AMYKRPXM,KRCQAUKB,TNXEKJAE,CJYXDVWP,VTFLGWLQ,OTNUKQVR
5065,KRCQRPXM,AMYKAUKB,CJYXKJAE,TNXEDVWP,OTNUGWLQ,VTFLKQVR
5066,TNXERPXM,CJYXAUKB,AMYKKJAE,KRCQDVWP,TKDSGWLQ,NXJGKQVR
5067,CJYXRPXM,TNXEAUKB,KRCQKJAE,AMYKDVWP,NXJGGWLQ,TKDSKQVR
